name,hhmmss,time,frame,
Mark,00:52:47,3167,79175,
Izak,00:52:54,3174,79350,
Paul,00:52:58,3178,79450,
Paul,00:53:08,3188,79700,
Mark,00:53:13,3193,79825,
Luke,00:53:18,3198,79950,
Izak,00:53:23,3203,80075,
Luke,00:53:28,3208,80200,
Paul,00:53:35,3215,80375,
Mark,00:53:44,3224,80600,
Paul,00:53:48,3228,80700,
Izak,00:53:55,3235,80875,
Paul,00:54:04,3244,81100,
Luke,00:54:10,3250,81250,
Mark,00:54:17,3257,81425,
Luke,00:54:27,3267,81675,
Izak,00:54:32,3272,81800,
Luke,00:54:37,3277,81925,
Luke,00:54:53,3293,82325,
Paul,00:55:09,3309,82725,
Mark,00:55:14,3314,82850,
Luke,00:55:20,3320,83000,
Mark,00:55:30,3330,83250,
Mark,00:55:40,3340,83500,
Paul,00:55:48,3348,83700,
Izak,00:55:58,3358,83950,
Luke,00:56:06,3366,84150,
Izak,00:56:10,3370,84250,
Izak,00:56:21,3381,84525,
Paul,00:56:30,3390,84750,
Mark,00:56:35,3395,84875,
Luke,00:56:41,3401,85025,
Mark,00:56:46,3406,85150,
Mark,00:56:58,3418,85450,
Paul,00:57:15,3435,85875,
Izak,00:57:20,3440,86000,
Luke,00:57:31,3451,86275,
Izak,00:57:42,3462,86550,
Izak,00:57:54,3474,86850,
Mark,00:58:04,3484,87100,
Mark,00:58:25,3505,87625,
Luke,00:58:29,3509,87725,
Luke,00:58:44,3524,88100,
Luke,00:59:03,3543,88575,
Luke,00:59:24,3564,89100,
Luke,00:59:51,3591,89775,
Luke,01:00:04,3604,90100,
Izak,01:06:02,3962,99050,
Mark,01:06:39,3999,99975,
Paul,01:06:42,4002,100050,
Mark,01:06:55,4015,100375,
Luke,01:07:00,4020,100500,
Mark,01:07:04,4024,100600,
Mark,01:07:24,4044,101100,
Luke,01:07:29,4049,101225,
Mark,01:07:45,4065,101625,
Paul,01:07:48,4068,101700,
Mark,01:07:53,4073,101825,
Izak,01:08:01,4081,102025,
Luke,01:08:08,4088,102200,
Paul,01:09:15,4155,103875,
Paul,01:09:57,4197,104925,
Paul,01:10:05,4205,105125,
Paul,01:10:25,4225,105625,
Izak,01:10:30,4230,105750,
Izak,01:10:34,4234,105850,
Paul,01:10:41,4241,106025,
Luke,01:10:48,4248,106200,
Izak,01:10:50,4250,106250,
Mark,01:10:52,4252,106300,
Luke,01:10:54,4254,106350,
Mark,01:11:02,4262,106550,
Izak,01:11:43,4303,107575,
Paul,01:11:46,4306,107650,
Mark,01:12:06,4326,108150,
Izak,01:12:30,4350,108750,
Luke,01:12:35,4355,108875,
Izak,01:12:51,4371,109275,
Mark,01:12:58,4378,109450,
Izak,01:13:06,4386,109650,
Luke,01:13:15,4395,109875,
Luke,01:13:59,4439,110975,
Mark,01:14:03,4443,111075,
Paul,01:14:23,4463,111575,
Mark,01:14:27,4467,111675,
Luke,01:14:48,4488,112200,
Izak,01:14:52,4492,112300,
Luke,01:15:01,4501,112525,
Luke,01:15:08,4508,112700,
Izak,01:15:16,4516,112900,
Mark,01:15:53,4553,113825,
Luke,01:15:58,4558,113950,
Izak,01:16:24,4584,114600,
Luke,01:16:28,4588,114700,
Izak,01:17:04,4624,115600,
Mark,01:17:08,4628,115700,
Mark,01:17:15,4635,115875,
Izak,01:17:19,4639,115975,
Paul,01:17:25,4645,116125,
Paul,01:17:57,4677,116925,
Izak,01:18:01,4681,117025,
Luke,01:18:22,4702,117550,
Izak,01:18:27,4707,117675,
Luke,01:18:47,4727,118175,
Mark,01:18:51,4731,118275,
Luke,01:19:00,4740,118500,
Paul,01:19:07,4747,118675,
Izak,01:19:16,4756,118900,
Mark,01:19:58,4798,119950,
Paul,01:20:01,4801,120025,
Mark,01:20:05,4805,120125,
Mark,01:20:23,4823,120575,
Luke,01:20:27,4827,120675,
Mark,01:20:47,4847,121175,
Izak,01:20:56,4856,121400,
Izak,01:21:03,4863,121575,
Mark,01:21:10,4870,121750,
Paul,01:21:20,4880,122000,
Izak,01:21:23,4883,122075,
