name,hhmmss,time,frame,
Jack,00:25:02,1502,37550,
Luke,00:25:38,1538,38450,
Jack,00:25:54,1554,38850,
Paul,00:26:13,1573,39325,
Darty,00:26:16,1576,39400,
Luke,00:26:18,1578,39450,
Darty,00:26:28,1588,39700,
Jack,00:26:33,1593,39825,
Luke,00:27:06,1626,40650,
Luke,00:27:39,1659,41475,
Luke,00:27:44,1664,41600,
Luke,00:27:51,1671,41775,
Jack,00:28:03,1683,42075,
Luke,00:29:02,1742,43550,
Luke,00:29:11,1751,43775,
Jack,00:29:25,1765,44125,
Jack,00:29:28,1768,44200,
Darty,00:29:38,1778,44450,
Luke,00:30:12,1812,45300,
Luke,00:30:26,1826,45650,
Luke,00:31:27,1887,47175,
Paul,00:31:32,1892,47300,
Paul,00:31:38,1898,47450,
Luke,00:31:41,1901,47525,
Paul,00:31:45,1905,47625,
Paul,00:32:01,1921,48025,
Luke,00:32:08,1928,48200,
Paul,00:32:31,1951,48775,
Luke,00:32:35,1955,48875,
Paul,00:32:46,1966,49150,
Luke,00:32:58,1978,49450,
Luke,00:33:03,1983,49575,
Paul,00:33:06,1986,49650,
Luke,00:33:11,1991,49775,
Jack,00:33:12,1992,49800,
Darty,00:33:15,1995,49875,
Paul,00:33:15,1995,49875,
Jack,00:33:18,1998,49950,
Luke,00:33:32,2012,50300,
Darty,00:33:33,2013,50325,
Jack,00:33:35,2015,50375,
Paul,00:33:36,2016,50400,
Darty,00:33:38,2018,50450,
Paul,00:33:39,2019,50475,
Jack,00:33:41,2021,50525,
Luke,00:33:43,2023,50575,
Darty,00:33:44,2024,50600,
Jack,00:33:47,2027,50675,
Paul,00:33:47,2027,50675,
Darty,00:33:50,2030,50750,
Luke,00:33:51,2031,50775,
Paul,00:33:58,2038,50950,
Luke,00:34:02,2042,51050,
Darty,00:34:05,2045,51125,
Paul,00:34:06,2046,51150,
Jack,00:34:08,2048,51200,
Darty,00:34:11,2051,51275,
Paul,00:34:13,2053,51325,
Jack,00:34:14,2054,51350,
Luke,00:34:17,2057,51425,
Darty,00:34:18,2058,51450,
Jack,00:34:25,2065,51625,
Darty,00:34:28,2068,51700,
Jack,00:34:31,2071,51775,
Darty,00:34:35,2075,51875,
Paul,00:34:41,2081,52025,
Jack,00:34:44,2084,52100,
Luke,00:34:45,2085,52125,
Darty,00:34:47,2087,52175,
Paul,00:34:49,2089,52225,
Luke,00:34:52,2092,52300,
Jack,00:34:56,2096,52400,
Darty,00:34:59,2099,52475,
Jack,00:35:02,2102,52550,
Paul,00:35:03,2103,52575,
Darty,00:35:06,2106,52650,
Luke,00:35:08,2108,52700,
Jack,00:35:09,2109,52725,
Darty,00:35:13,2113,52825,
Jack,00:35:16,2116,52900,
Paul,00:35:17,2117,52925,
Luke,00:35:21,2121,53025,
Paul,00:35:25,2125,53125,
Jack,00:35:29,2129,53225,
Paul,00:35:41,2141,53525,
Jack,00:35:44,2144,53600,
Paul,00:35:50,2150,53750,
Darty,00:35:54,2154,53850,
Jack,00:35:55,2155,53875,
Darty,00:36:02,2162,54050,
Jack,00:36:08,2168,54200,
Jack,00:36:10,2170,54250,
Jack,00:36:14,2174,54350,
Jack,00:36:17,2177,54425,
Jack,00:36:19,2179,54475,
Paul,00:36:46,2206,55150,
Jack,00:36:50,2210,55250,
Paul,00:37:02,2222,55550,
Darty,00:37:04,2224,55600,
Luke,00:37:04,2224,55600,
Darty,00:37:08,2228,55700,
Paul,00:37:27,2247,56175,
Paul,00:37:34,2254,56350,
Darty,00:37:35,2255,56375,
Luke,00:37:38,2258,56450,
Jack,00:37:53,2273,56825,
Paul,00:37:57,2277,56925,
Jack,00:38:07,2287,57175,
Luke,00:38:11,2291,57275,
Paul,00:38:18,2298,57450,
Jack,00:38:21,2301,57525,
Darty,00:38:24,2304,57600,
Jack,00:38:31,2311,57775,
Jack,00:38:39,2319,57975,
Luke,00:38:42,2322,58050,
Luke,00:38:53,2333,58325,
Darty,00:38:56,2336,58400,
Paul,00:39:00,2340,58500,
Jack,00:39:02,2342,58550,
Luke,00:39:18,2358,58950,
Paul,00:39:22,2362,59050,
Luke,00:39:34,2374,59350,
Luke,00:39:39,2379,59475,
Darty,00:39:40,2380,59500,
Darty,00:39:51,2391,59775,
Paul,00:39:53,2393,59825,
Jack,00:40:02,2402,60050,
Darty,00:40:07,2407,60175,
Luke,00:40:09,2409,60225,
Luke,00:40:21,2421,60525,
Darty,00:40:25,2425,60625,
Paul,00:40:27,2427,60675,
Darty,00:40:29,2429,60725,
Luke,00:40:32,2432,60800,
Darty,00:40:34,2434,60850,
Luke,00:40:36,2436,60900,
Paul,00:40:39,2439,60975,
Darty,00:40:44,2444,61100,
Paul,00:40:57,2457,61425,
Jack,00:40:59,2459,61475,
Darty,00:41:01,2461,61525,
Paul,00:41:20,2480,62000,
Jack,00:41:28,2488,62200,
Paul,00:41:32,2492,62300,
Jack,00:41:36,2496,62400,
Luke,00:41:46,2506,62650,
Luke,00:41:51,2511,62775,
Luke,00:42:02,2522,63050,
Luke,00:42:06,2526,63150,
Luke,00:42:11,2531,63275,
Darty,00:42:13,2533,63325,
Darty,00:42:27,2547,63675,
Paul,00:42:31,2551,63775,
Paul,00:42:35,2555,63875,
Paul,00:42:48,2568,64200,
Darty,00:42:51,2571,64275,
Paul,00:42:55,2575,64375,
Darty,00:42:56,2576,64400,
Luke,00:42:59,2579,64475,
Jack,00:43:03,2583,64575,
Luke,00:43:06,2586,64650,
Jack,00:47:34,2854,71350,
Jack,00:49:00,2940,73500,
Jack,00:49:10,2950,73750,
Jack,00:49:23,2963,74075,
Jack,00:49:30,2970,74250,
Paul,00:49:37,2977,74425,
Jack,00:50:12,3012,75300,
Jack,00:50:21,3021,75525,
Jack,00:50:36,3036,75900,
Jack,00:50:43,3043,76075,
Luke,00:50:49,3049,76225,
Paul,00:50:56,3056,76400,
Luke,00:51:07,3067,76675,
Jack,00:51:26,3086,77150,
Jack,00:51:37,3097,77425,
Jack,00:51:55,3115,77875,
Paul,00:52:02,3122,78050,
Paul,00:52:12,3132,78300,
Darty,00:52:36,3156,78900,
Jack,00:52:46,3166,79150,
Jack,00:52:55,3175,79375,
Jack,00:53:17,3197,79925,
Jack,00:53:31,3211,80275,
Luke,00:53:38,3218,80450,
Paul,00:53:47,3227,80675,
Jack,00:54:29,3269,81725,
Darty,00:54:37,3277,81925,
Darty,00:55:02,3302,82550,
Luke,00:55:11,3311,82775,
Paul,00:55:19,3319,82975,
Darty,00:55:47,3347,83675,
Darty,00:55:56,3356,83900,
Luke,00:56:47,3407,85175,
Luke,00:57:08,3428,85700,
Jack,00:57:18,3438,85950,
Luke,00:57:26,3446,86150,
Darty,00:57:47,3467,86675,
Darty,00:58:08,3488,87200,
Luke,00:58:16,3496,87400,
Paul,00:58:24,3504,87600,
Jack,00:58:51,3531,88275,
Darty,00:58:59,3539,88475,
Darty,00:59:19,3559,88975,
Darty,00:59:47,3587,89675,
Luke,00:59:55,3595,89875,
